Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-130.7044061808066,76,0.9950195566196387,0.00496559332726813,0.0,0.23684210526315788,0.3026315789473684,0.21052631578947367,0.25
1,-285.4480756010249,102,0.9900639180555424,0.004931423418361956,0.0,0.27450980392156865,0.21568627450980393,0.27450980392156865,0.23529411764705882
2,-190.21694726418946,168,0.9851329607687281,0.004897488644030385,0.0,0.25595238095238093,0.24404761904761904,0.25595238095238093,0.24404761904761904
3,-105.02929883375892,77,0.9802265618354918,0.004863787386233744,0.0,0.24675324675324675,0.2857142857142857,0.19480519480519481,0.2727272727272727
4,-129.52906937580212,100,0.975344598944344,0.004830318038066636,0.0,0.28,0.27,0.18,0.27
5,-227.36358935090675,102,0.9704869503929605,0.004797079003681315,0.0,0.2647058823529412,0.2549019607843137,0.24509803921568626,0.23529411764705882
6,-203.485372826316,128,0.9656534950851489,0.004764068698211598,0.0,0.2578125,0.2890625,0.234375,0.21875
7,-395.9246144538339,87,0.9608441125278293,0.0047312855476972955,0.0,0.2413793103448276,0.26436781609195403,0.3103448275862069,0.1839080459770115
8,-155.50216908338123,114,0.956058682828031,0.004698727989009166,0.0,0.2894736842105263,0.2807017543859649,0.21929824561403508,0.21052631578947367
9,-113.5505613191946,72,0.9512970866899032,0.004666394469774383,0.0,0.2361111111111111,0.3194444444444444,0.25,0.19444444444444445
10,-127.34357800767401,126,0.9465592054117414,0.004634283448302516,0.0,0.25396825396825395,0.2857142857142857,0.2698412698412698,0.19047619047619047
11,22.973540083376818,78,0.9418449208830285,0.004602393393512023,0.0,0.28205128205128205,0.28205128205128205,0.1794871794871795,0.2564102564102564
12,-161.1357314742747,108,0.9371541155814898,0.004570722784857245,0.0,0.25925925925925924,0.3148148148148148,0.2037037037037037,0.2222222222222222
13,-127.02592982852886,64,0.9324866725701636,0.004539270112255908,0.0,0.265625,0.21875,0.265625,0.25
14,-89.11109649982181,57,0.9278424754944864,0.004508033876017119,0.0,0.3157894736842105,0.24561403508771928,0.22807017543859648,0.21052631578947367
15,-124.73956907940526,106,0.9232214085793918,0.004477012586769858,0.0,0.22641509433962265,0.29245283018867924,0.22641509433962265,0.25471698113207547
16,-135.73804830403856,81,0.9186233566264248,0.004446204765391968,0.0,0.20987654320987653,0.3333333333333333,0.2345679012345679,0.2222222222222222
17,-385.6141390106461,91,0.9140482050108695,0.004415608942939624,0.0,0.15384615384615385,0.3076923076923077,0.2857142857142857,0.25274725274725274
18,-458.9743220435572,98,0.9094958396788919,0.004385223660577296,0.0,0.16326530612244897,0.35714285714285715,0.2653061224489796,0.21428571428571427
19,-457.5932609208233,97,0.904966147144697,0.004355047469508188,0.0,0.18556701030927836,0.3711340206185567,0.26804123711340205,0.17525773195876287
20,-240.69379726444086,95,0.9004590144876992,0.004325078930905163,0.0,0.15789473684210525,0.37894736842105264,0.22105263157894736,0.24210526315789474
21,-141.4150811578726,78,0.8959743293497072,0.004295316615842131,0.0,0.28205128205128205,0.2948717948717949,0.19230769230769232,0.23076923076923078
22,-152.86283161614097,74,0.8915119799321238,0.004265759105225923,0.0,0.25675675675675674,0.3108108108108108,0.21621621621621623,0.21621621621621623
23,-76.07505720271058,69,0.8870718549931581,0.004236404989728622,0.0,0.2028985507246377,0.2608695652173913,0.34782608695652173,0.18840579710144928
24,-165.26448939421363,57,0.8826538438450526,0.004207252869720371,0.0,0.19298245614035087,0.2982456140350877,0.21052631578947367,0.2982456140350877
25,-166.49781179502057,65,0.878257836351324,0.0041783013552026335,0.0,0.26153846153846155,0.35384615384615387,0.2153846153846154,0.16923076923076924
26,-171.7969994725321,116,0.8738837229240176,0.004149549065741917,0.0,0.1724137931034483,0.3275862068965517,0.2672413793103448,0.23275862068965517
27,-146.19899247827124,67,0.8695313945209752,0.004120994630403953,0.0,0.3880597014925373,0.208955223880597,0.19402985074626866,0.208955223880597
28,-237.47893712942826,92,0.8652007426431169,0.004092636687688333,0.0,0.21739130434782608,0.3695652173913043,0.22826086956521738,0.18478260869565216
29,-176.80406176353318,98,0.8608916593317363,0.004064473885463585,0.0,0.3163265306122449,0.29591836734693877,0.17346938775510204,0.21428571428571427
30,-55.13774405050344,67,0.8566040371658092,0.00403650488090271,0.0,0.14925373134328357,0.31343283582089554,0.23880597014925373,0.29850746268656714
31,-110.16031931928012,66,0.852337769259316,0.004008728340419147,0.0,0.25757575757575757,0.3484848484848485,0.09090909090909091,0.30303030303030304
32,-129.80809147366043,89,0.8480927492585766,0.003981142939603193,0.0,0.2808988764044944,0.3258426966292135,0.16853932584269662,0.2247191011235955
33,-220.55049085715956,64,0.8438688713395993,0.003953747363158849,0.0,0.375,0.328125,0.171875,0.125
34,-78.82237506680401,74,0.8396660302054431,0.003926540304841109,0.0,0.24324324324324326,0.2702702702702703,0.2702702702702703,0.21621621621621623
35,-223.5896594991243,79,0.8354841210835922,0.0038995204673936763,0.0,0.24050632911392406,0.3670886075949367,0.21518987341772153,0.17721518987341772
36,-92.81952744903012,61,0.8313230397233444,0.003872686562487108,0.0,0.32786885245901637,0.22950819672131148,0.19672131147540983,0.2459016393442623
37,-317.1339373898538,123,0.8271826823932125,0.003846037310657387,0.0,0.21138211382113822,0.3252032520325203,0.23577235772357724,0.22764227642276422
38,-63.29414064268656,70,0.8230629458783377,0.0038195714412449172,0.0,0.2857142857142857,0.2714285714285714,0.17142857142857143,0.2714285714285714
39,-446.5593859584889,91,0.8189637274779172,0.003793287692333935,0.0,0.1978021978021978,0.38461538461538464,0.2087912087912088,0.2087912087912088
40,-383.8066474223943,97,0.8148849250026439,0.0037671848106923425,0.0,0.26804123711340205,0.27835051546391754,0.25773195876288657,0.1958762886597938
41,-102.6031731923322,93,0.8108264367721583,0.00374126155171195,0.0,0.3010752688172043,0.24731182795698925,0.3010752688172043,0.15053763440860216
42,-130.89823318088102,88,0.8067881616125144,0.003715516679349134,0.0,0.38636363636363635,0.26136363636363635,0.19318181818181818,0.1590909090909091
43,-42.23551980709699,88,0.8027699988536575,0.0036899489660659,0.0,0.18181818181818182,0.36363636363636365,0.20454545454545456,0.25
44,-91.8329830786123,59,0.7987718483269142,0.003664557192771354,0.0,0.2711864406779661,0.3050847457627119,0.2033898305084746,0.22033898305084745
45,-551.6632276368805,96,0.7947936103624954,0.0036393401487635735,0.0,0.28125,0.3645833333333333,0.21875,0.13541666666666666
46,-90.96024206053379,84,0.7908351857870121,0.003614296631671881,0.0,0.2619047619047619,0.25,0.25,0.23809523809523808
47,-237.0763154479416,99,0.7868964759210023,0.0035894254473995144,0.0,0.24242424242424243,0.36363636363636365,0.1717171717171717,0.2222222222222222
48,-120.26794170115083,83,0.7829773825764719,0.00356472541006669,0.0,0.26506024096385544,0.3493975903614458,0.1566265060240964,0.2289156626506024
49,-78.8578020505433,63,0.7790778080544463,0.0035401953419540613,0.0,0.2857142857142857,0.31746031746031744,0.20634920634920634,0.19047619047619047
50,-406.2432397449507,103,0.7751976551425351,0.0035158340734465607,0.0,0.3106796116504854,0.2621359223300971,0.22330097087378642,0.20388349514563106
51,-128.1529625093443,86,0.771336827112509,0.003491640442977634,0.0,0.16279069767441862,0.27906976744186046,0.22093023255813954,0.3372093023255814
52,-94.3703651661405,77,0.7674952277178876,0.0034676132969738557,0.0,0.22077922077922077,0.2857142857142857,0.2597402597402597,0.23376623376623376
53,-102.21770280335429,65,0.7636727611915411,0.003443751489799924,0.0,0.27692307692307694,0.3384615384615385,0.13846153846153847,0.24615384615384617
54,-179.7610351185005,82,0.7598693322433026,0.0034200538837040368,0.0,0.2926829268292683,0.34146341463414637,0.18292682926829268,0.18292682926829268
55,-323.1953386918308,110,0.7560848460575919,0.0033965193487636436,0.0,0.2818181818181818,0.34545454545454546,0.18181818181818182,0.19090909090909092
56,-496.6616458190017,95,0.7523192082910528,0.003373146762831569,0.0,0.3263157894736842,0.29473684210526313,0.21052631578947367,0.16842105263157894
57,-112.15564067997919,178,0.748572325070201,0.0033499350114825064,1.1472048552966945,0.21910112359550563,0.16292134831460675,0.398876404494382,0.21910112359550563
58,-264.68006863228743,143,0.7448441029890834,0.0033268829879598842,0.8273668595873954,0.1888111888111888,0.23776223776223776,0.3356643356643357,0.23776223776223776
59,-55.92393305860652,82,0.7411344491069503,0.003303989593123092,0.7826325970430709,0.2073170731707317,0.18292682926829268,0.36585365853658536,0.24390243902439024
60,-27.733122789560355,93,0.7374432709459379,0.0032812537353950743,0.7591383702367153,0.16129032258064516,0.16129032258064516,0.4946236559139785,0.1827956989247312
61,-72.67255692388542,142,0.7337704764887631,0.0032586743307102817,0.7355177566282984,0.18309859154929578,0.18309859154929578,0.47183098591549294,0.1619718309859155
62,-140.07147404702738,155,0.7301159741764301,0.003236250302462983,0.7308199814718711,0.22580645161290322,0.2,0.36774193548387096,0.2064516129032258
63,-19.575913087619057,74,0.7264796729059471,0.003213980581455931,0.6925888670382193,0.22972972972972974,0.1891891891891892,0.3783783783783784,0.20270270270270271
64,-11.850211221689179,96,0.7228614820280556,0.0031918641058493835,0.6784359884964882,0.17708333333333334,0.22916666666666666,0.22916666666666666,0.3645833333333333
65,-124.40702975239451,200,0.7192613113449707,0.003169899821110471,1.2776160418308624,0.19,0.185,0.43,0.195
66,-173.38432162457303,140,0.7156790711081327,0.003148086679962919,1.2591198079510044,0.17857142857142858,0.20714285714285716,0.4,0.21428571428571427
67,-7.345876757351249,143,0.712114672015969,0.0031264236423371103,1.0811937853810438,0.1888111888111888,0.2097902097902098,0.40559440559440557,0.1958041958041958
68,-107.38719131419953,106,0.708568025211669,0.0031049096753204956,1.0987353104958024,0.14150943396226415,0.1509433962264151,0.5283018867924528,0.1792452830188679
69,-117.17554407477246,131,0.7050390422809678,0.003083543753108342,1.0387803929486517,0.183206106870229,0.25190839694656486,0.366412213740458,0.1984732824427481
70,-99.56941926860642,91,0.7015276352499433,0.0030623248569548217,0.9586607585294626,0.17582417582417584,0.21978021978021978,0.45054945054945056,0.15384615384615385
71,-94.21749860285973,134,0.6980337165828222,0.0030412519751244387,0.8990498484553567,0.15671641791044777,0.2462686567164179,0.3582089552238806,0.23880597014925373
72,-62.99177389750338,99,0.6945571991797983,0.003020324102843787,0.9337898141604297,0.1919191919191919,0.13131313131313133,0.5151515151515151,0.16161616161616163
73,-177.80395748545448,144,0.691097996374861,0.002999540242253642,0.8946990641936341,0.1736111111111111,0.2569444444444444,0.3888888888888889,0.18055555555555555
74,-270.37135034938774,82,0.6876560219336348,0.002978899402361383,0.8817835862282392,0.15853658536585366,0.36585365853658536,0.2682926829268293,0.2073170731707317
75,-40.92544513661216,118,0.6842311900512299,0.002958400598993741,0.8542696877298057,0.1694915254237288,0.2033898305084746,0.4745762711864407,0.15254237288135594
76,-80.15630375012654,134,0.6808234153501025,0.0029380428547498717,0.8475548864367751,0.17164179104477612,0.2462686567164179,0.30597014925373134,0.27611940298507465
77,-78.49957178246154,150,0.6774326128779271,0.0029178251989547543,0.830721083230743,0.14666666666666667,0.20666666666666667,0.4066666666666667,0.24
78,-86.92485675424767,149,0.6740586981054784,0.0028977466676129065,0.8127472288866799,0.18791946308724833,0.2080536912751678,0.40939597315436244,0.19463087248322147
79,-91.90108402508105,91,0.670701586924524,0.0028778063033624217,0.7947058126160155,0.16483516483516483,0.23076923076923078,0.42857142857142855,0.17582417582417584
80,-39.77937761847096,117,0.6673611956457279,0.002858003155429321,0.780854267050582,0.1452991452991453,0.1282051282051282,0.5213675213675214,0.20512820512820512
81,-151.93241762701496,141,0.6640374409965641,0.0028383362795822193,1.513992743406939,0.20567375886524822,0.23404255319148937,0.2978723404255319,0.2624113475177305
82,-64.21274195359729,143,0.6607302401192408,0.002818804738087304,1.2746399244168456,0.1258741258741259,0.21678321678321677,0.3916083916083916,0.26573426573426573
83,-73.56960241744093,120,0.6574395105686344,0.002799407599663621,1.1635844596461795,0.19166666666666668,0.19166666666666668,0.45,0.16666666666666666
84,-36.30282852718092,118,0.6541651703102348,0.002780143939438674,1.1605338144053439,0.19491525423728814,0.16101694915254236,0.3644067796610169,0.2796610169491525
85,-84.81869878207137,134,0.6509071377181003,0.0027610128389043225,1.158860704691941,0.1417910447761194,0.26865671641791045,0.3358208955223881,0.2537313432835821
86,-70.24777139608328,69,0.6476653315728222,0.0027420133858729883,1.072120432770964,0.15942028985507245,0.2753623188405797,0.37681159420289856,0.18840579710144928
87,-54.067930252008196,99,0.6444396710595008,0.0027231446744341607,1.0789158545310482,0.15151515151515152,0.2222222222222222,0.48484848484848486,0.1414141414141414
88,-136.7195028432291,116,0.6412300757657303,0.002704405804911203,1.0224396650097982,0.20689655172413793,0.25,0.3793103448275862,0.16379310344827586
89,-52.738878486852414,119,0.6380364656795943,0.0026857958838184533,0.996222954968117,0.11764705882352941,0.2773109243697479,0.31932773109243695,0.2857142857142857
90,-188.65569715174513,121,0.6348587611876713,0.002667314023818624,1.0052043378197075,0.18181818181818182,0.1652892561983471,0.4132231404958678,0.2396694214876033
91,-67.12647361190646,110,0.6316968830730497,0.0026489593436804936,1.0102045214234288,0.17272727272727273,0.1,0.5454545454545454,0.18181818181818182
92,-47.98841070775147,124,0.6285507525133537,0.0026307309682368847,0.9540724701016976,0.1693548387096774,0.20967741935483872,0.4274193548387097,0.1935483870967742
93,-46.288565117707826,87,0.6254202910787774,0.0026126280283429405,0.9830768502427089,0.14942528735632185,0.22988505747126436,0.45977011494252873,0.16091954022988506
94,-83.8062653239898,119,0.6223054207301305,0.002594649660834679,0.9465296702401348,0.20168067226890757,0.2184873949579832,0.453781512605042,0.12605042016806722
95,114.81167648313752,1000,0.6192060638168921,0.00257679500848784,1.3189886469984586,0.282,0.261,0.223,0.234
96,-141.38917693382388,164,0.6161221430752757,0.0025590632199770087,1.3291586686454233,0.17682926829268292,0.23780487804878048,0.3902439024390244,0.1951219512195122
97,-20.442779678396093,75,0.6130535816263024,0.002541453449835026,1.3281467424683708,0.16,0.2,0.5466666666666666,0.09333333333333334
98,23.333268221939434,150,0.6100003029738849,0.0025239648584126748,1.3515709317417073,0.14666666666666667,0.22666666666666666,0.4266666666666667,0.2
99,-92.42375139830749,129,0.6069622310029202,0.002506596611838646,1.2140560822969526,0.17054263565891473,0.24031007751937986,0.37209302325581395,0.21705426356589147
100,-34.27553982191378,135,0.6039392899773924,0.002489347881979777,1.2234448135196996,0.1037037037037037,0.2518518518518518,0.4148148148148148,0.22962962962962963
101,-136.2989205693179,115,0.6009314045384845,0.0024722178464015665,1.1798287751287315,0.17391304347826086,0.21739130434782608,0.3739130434782609,0.23478260869565218
102,-115.09822264176333,185,0.5979384997026995,0.0024552056883289613,1.2191700531564773,0.0918918918918919,0.1945945945945946,0.5243243243243243,0.1891891891891892
103,-25.994379895342007,116,0.5949605008599921,0.0024383105966074093,1.1624046609332905,0.1206896551724138,0.2672413793103448,0.4051724137931034,0.20689655172413793
104,-187.1233360392416,123,0.5919973337719074,0.002421531765664185,1.1821657255313383,0.14634146341463414,0.23577235772357724,0.34959349593495936,0.2682926829268293
105,-78.51812340007372,109,0.5890489245697316,0.002404868395469978,1.1156378388825032,0.1559633027522936,0.24770642201834864,0.3944954128440367,0.2018348623853211
106,-121.14884131297507,141,0.5861151997526493,0.0023883196915007476,1.3202313343113252,0.14893617021276595,0.22695035460992907,0.44680851063829785,0.1773049645390071
107,-87.00621061258084,93,0.583196086185912,0.002371884864699838,1.313804273840974,0.22580645161290322,0.21505376344086022,0.40860215053763443,0.15053763440860216
108,-244.18610619748043,173,0.5802915110990148,0.0023555631314403575,1.220673256163898,0.1676300578034682,0.23121387283236994,0.4161849710982659,0.18497109826589594
109,13.925403586815236,143,0.5774014020838818,0.002339353713487812,1.2308353061791812,0.16083916083916083,0.13986013986013987,0.5384615384615384,0.16083916083916083
110,-47.59707787698692,139,0.5745256870930618,0.002323255837963,1.2039511155446545,0.15827338129496402,0.22302158273381295,0.3237410071942446,0.2949640287769784
111,-71.94375709530959,159,0.5716642944379317,0.00230726873730516,1.1702275095582129,0.1509433962264151,0.2138364779874214,0.42138364779874216,0.2138364779874214
112,-101.81439433701483,216,0.5688171527869094,0.002291391649235373,1.1433124618998083,0.12037037037037036,0.18055555555555555,0.4722222222222222,0.22685185185185186
113,-118.56679831026663,161,0.5659841911636758,0.002275623816720217,1.1404323276974275,0.15527950310559005,0.15527950310559005,0.4968944099378882,0.19254658385093168
114,-23.99039587406233,138,0.5631653389454055,0.002259964487935669,1.1087224780054854,0.08695652173913043,0.2318840579710145,0.42028985507246375,0.2608695652173913
115,-40.282304543703745,127,0.5603605258610059,0.002244412916231259,1.0571687611903895,0.10236220472440945,0.2440944881889764,0.3858267716535433,0.2677165354330709
116,-93.50865114308867,160,0.5575696819893657,0.002228968360094469,1.1210959652522292,0.125,0.1875,0.44375,0.24375
117,-72.21592400271531,147,0.5547927377576116,0.0022136300831153764,0.9972734989845186,0.17687074829931973,0.21768707482993196,0.38095238095238093,0.22448979591836735
118,-73.99670379613181,116,0.5520296239393742,0.002198397353951542,1.004988670873048,0.09482758620689655,0.20689655172413793,0.46551724137931033,0.23275862068965517
119,-82.13634510209982,108,0.5492802716530619,0.002183269446293138,1.014244148794968,0.19444444444444445,0.19444444444444445,0.3333333333333333,0.2777777777777778
120,-69.17198827544104,120,0.5465446123601444,0.0021682456388283184,1.2113336298276616,0.20833333333333334,0.10833333333333334,0.525,0.15833333333333333
121,-124.94114231293949,147,0.5438225778634432,0.0021533252152088245,1.369824431663887,0.11564625850340136,0.21768707482993196,0.3469387755102041,0.3197278911564626
122,-68.38536434494574,82,0.5411141003054323,0.0021385074640158297,1.2353120448605774,0.24390243902439024,0.1951219512195122,0.4634146341463415,0.0975609756097561
123,-69.57904462341887,111,0.5384191121665459,0.002123791678726019,1.3040812805366226,0.14414414414414414,0.21621621621621623,0.2972972972972973,0.34234234234234234
124,-44.363645443095606,130,0.535737546263496,0.0021091771576779,1.2981453669232978,0.14615384615384616,0.2,0.4846153846153846,0.16923076923076924
125,-22.643594663457208,226,0.533069335747597,0.0020946632040383484,1.2432124652579988,0.13274336283185842,0.17699115044247787,0.5398230088495575,0.1504424778761062
126,-111.72433245524788,131,0.5304144141030992,0.0020802491257693807,1.1677117069370648,0.13740458015267176,0.1984732824427481,0.5114503816793893,0.15267175572519084
127,-8.891126102735967,144,0.5277727151455311,0.00206593423559516,1.1701495209765038,0.13194444444444445,0.1736111111111111,0.5277777777777778,0.16666666666666666
128,-23.69802936054286,176,0.5251441730200492,0.0020517178509692224,1.1358804136804692,0.14204545454545456,0.19886363636363635,0.48863636363636365,0.17045454545454544
129,-20.196331412230236,133,0.5225287221997962,0.0020375992940419355,1.125087447186029,0.14285714285714285,0.24060150375939848,0.44360902255639095,0.17293233082706766
130,-118.34305301915396,191,0.5199262974842676,0.0020235778916281775,1.0455449464740234,0.08900523560209424,0.3507853403141361,0.3612565445026178,0.19895287958115182
131,-62.29566268576014,183,0.5173368339976863,0.002009652975175238,1.0767593678952754,0.13114754098360656,0.20218579234972678,0.4918032786885246,0.17486338797814208
132,-47.26978400132914,312,0.5147602671873854,0.0019958238807309416,1.12441985349051,0.08974358974358974,0.1987179487179487,0.4967948717948718,0.21474358974358973
133,-3.4594444056381235,172,0.512196532822199,0.0019820899489119896,1.6514960950170612,0.11627906976744186,0.19767441860465115,0.5058139534883721,0.18023255813953487
134,-18.721461940943996,115,0.5096455669908607,0.001968450524872521,1.4880721055958057,0.1391304347826087,0.1826086956521739,0.5478260869565217,0.13043478260869565
135,-117.52387836480997,185,0.5071073061004107,0.0019549049582728876,1.5288403397063255,0.15135135135135136,0.2594594594594595,0.3891891891891892,0.2
136,-41.06626688970667,179,0.50458168687461,0.0019414526032486465,1.4605032166772727,0.16759776536312848,0.15083798882681565,0.5307262569832403,0.15083798882681565
137,-84.26345832584114,136,0.5020686463523638,0.0019280928183797639,1.3348975505867742,0.1323529411764706,0.22794117647058823,0.49264705882352944,0.14705882352941177
138,-18.076396201345204,141,0.49956812188615124,0.0019148249666600316,1.32466158093753,0.1276595744680851,0.19858156028368795,0.49645390070921985,0.1773049645390071
139,-62.01103434400386,101,0.49708005114046383,0.0019016484154666946,1.3976616473137737,0.13861386138613863,0.22772277227722773,0.5148514851485149,0.1188118811881188
140,-55.90119711625882,283,0.49460437209025165,0.0018885625365302864,1.3299972657386772,0.15901060070671377,0.18021201413427562,0.5017667844522968,0.15901060070671377
141,-114.41940635576056,213,0.492141023019377,0.001875566705904673,1.246987426017162,0.1267605633802817,0.1784037558685446,0.460093896713615,0.2347417840375587
142,-47.426413064759586,156,0.48968994251907594,0.0018626603039373023,1.2152099381669133,0.1346153846153846,0.16025641025641027,0.5256410256410257,0.1794871794871795
143,-106.07857720695246,116,0.4872510694864273,0.0018498427152396591,1.2787715566931013,0.1810344827586207,0.2413793103448276,0.3620689655172414,0.21551724137931033
144,-57.30419129283964,73,0.4848243431228297,0.0018371133286579223,1.2160627358113996,0.0821917808219178,0.2876712328767123,0.4520547945205479,0.1780821917808219
145,-70.62396194237155,125,0.4824097029324856,0.0018244715372438245,1.3139236480997432,0.112,0.224,0.496,0.168
146,-209.61753452147735,192,0.4800070887208934,0.0018119167382257126,1.743512767598818,0.125,0.16145833333333334,0.4947916666666667,0.21875
147,-204.01975852014903,202,0.47761644059334696,0.0017994483329798066,1.6025847951647683,0.13366336633663367,0.2079207920792079,0.41089108910891087,0.24752475247524752
148,-11.84810078312934,213,0.4752376989534421,0.0017870657270016577,1.549236698820876,0.09859154929577464,0.17370892018779344,0.4788732394366197,0.24882629107981222
149,-222.36648624074886,177,0.4728708045015913,0.0017747683298778003,1.4263858579108384,0.12429378531073447,0.2824858757062147,0.4180790960451977,0.1751412429378531
150,-96.22901200638272,201,0.4705156982335452,0.001762555555257602,1.493037085539224,0.12437810945273632,0.23383084577114427,0.472636815920398,0.1691542288557214
151,-51.291742803872836,294,0.4681723214389219,0.0017504268208253044,1.4365549020940578,0.1292517006802721,0.1836734693877551,0.5238095238095238,0.16326530612244897
152,-26.32274929557434,217,0.46584061569974305,0.0017383815482722598,1.3893613236854934,0.1152073732718894,0.1889400921658986,0.5069124423963134,0.1889400921658986
153,-19.566977008307347,155,0.4635205228889778,0.001726419163269355,1.400109337442795,0.09032258064516129,0.18064516129032257,0.49032258064516127,0.23870967741935484
154,-54.20088029366817,226,0.4612119851690938,0.0017145390954396275,1.334711686216235,0.11946902654867257,0.168141592920354,0.43805309734513276,0.2743362831858407
155,-190.86302641386345,237,0.4589149449906151,0.00170274077833107,1.6059991351945166,0.1729957805907173,0.20675105485232068,0.459915611814346,0.16033755274261605
156,18.83671444358434,308,0.4566293450906877,0.0016910236493896207,1.6192484249066323,0.12987012987012986,0.18506493506493507,0.4935064935064935,0.19155844155844157
157,-65.47236116624998,201,0.45435512849165205,0.0016793871499323405,1.6240676551257416,0.12437810945273632,0.16417910447761194,0.5323383084577115,0.1791044776119403
158,31.735593960214032,212,0.4520922384996226,0.0016678307251207745,1.4926630091969946,0.11320754716981132,0.27358490566037735,0.44339622641509435,0.16981132075471697
159,-26.172463209128594,148,0.44984061870307446,0.001656353823934497,1.5467601000937603,0.18243243243243243,0.20270270270270271,0.46621621621621623,0.14864864864864866
160,-268.7799273819123,364,0.4476002129714371,0.0016449558991448378,1.4777296429018048,0.10989010989010989,0.19505494505494506,0.5054945054945055,0.18956043956043955
161,-43.211860068361986,272,0.4453709654536952,0.0016336364072887907,1.427439911230567,0.10294117647058823,0.15441176470588236,0.5367647058823529,0.20588235294117646
162,-64.81118890704828,231,0.44315282057699623,0.0016223948086431,1.4112068129647475,0.15584415584415584,0.19047619047619047,0.4588744588744589,0.19480519480519481
163,-69.17786291385801,209,0.4409457230452651,0.0016112305671985266,1.576097558754078,0.1291866028708134,0.22009569377990432,0.4688995215311005,0.18181818181818182
164,-39.39833755006166,115,0.4387496178378257,0.0016001431506342896,1.8346426225079597,0.12173913043478261,0.25217391304347825,0.4782608695652174,0.14782608695652175
165,11.02923551203952,203,0.43656445020802925,0.0015891320302926862,1.783030473578673,0.12315270935960591,0.18719211822660098,0.5369458128078818,0.15270935960591134
166,-8.976449553361661,171,0.4343901656818896,0.0015781966811538838,1.752369456900747,0.08771929824561403,0.15789473684210525,0.5497076023391813,0.2046783625730994
