Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-149.10722849315297,-31.06348008537165,-210.50186411812
50,-132.04039969715865,13.085384054895314,-251.58317114217718
100,-76.91616876421307,-53.17588765163848,-114.95239349544808
150,-676.9150465842938,-284.08527131098344,-1186.3671369706758
200,-145.87614344025278,-8.323401809852776,-224.33576156643534
250,-20.61193852476064,187.91651829993825,-209.21153091780087
300,-158.1474659990244,109.44939255007158,-444.08432328766617
350,-210.8219480110785,224.63203684477338,-425.23556053456855
400,-80.44941296833387,240.2011513076504,-279.969922031021
450,-176.8411574732802,7.411595491788859,-321.4501122803894
500,-228.17182514956207,-86.82232532012875,-401.2670263666353
550,-267.3700445255962,-182.67014366623084,-356.6064907527244
600,-186.7834583473995,48.237247971102875,-318.5767130483522
650,-106.43406070353316,67.39365946137139,-302.14944670095076
700,-176.07021456692954,-62.147509701051355,-274.276220993042
750,-181.13619282204377,-47.24442497638647,-295.5107798255156
800,-152.65119473771193,-9.549654557135327,-334.2727003125539
850,-160.33716401370887,-14.388285180085191,-291.9830329156294
900,-156.3661059665698,1.492959362261999,-340.79386757264837
950,-151.40223636145348,-27.5501243844668,-282.87931556455294
