Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-300.3983997900122,-140.53419310930624,-394.91698975640566
50,-285.760257121444,-215.49573430709214,-362.8661659155886
100,-131.00145190559311,-79.18012099932888,-163.28071242435942
150,-298.3286103864817,-193.49858108616365,-474.0723015435915
200,-115.8514982072895,-58.82287798158639,-172.86249584914367
250,-144.26743478842846,-27.02239070886756,-499.5804616324832
300,-254.83033590690965,-12.442822673635291,-613.1194319079633
350,-72.76052298276973,227.57661018695075,-281.52910181345806
400,204.3540395859958,275.32745179569224,-123.41978141557209
450,24.15431767930561,283.3507921519913,-132.46532837108757
500,-24.673176928875584,282.75981617113547,-99.58347523696663
550,-159.73428268698305,6.796680927327287,-316.0773505785937
600,-103.64138910134679,132.5185501950481,-153.3088507753252
650,-33.65891020052209,272.24514881169546,-119.23342887339412
700,-96.21705353763682,-64.51921002384105,-144.68103632043056
750,-86.6931587990165,223.57503499504122,-168.78669598057914
800,115.29877306661326,280.96857655794736,-71.34050190525409
850,175.7381585039025,276.81154383722134,-12.739395280861615
900,221.37502210125285,310.64516175861365,37.08572301641678
950,155.3853050881454,293.11490539352917,1.0943962426284344
