Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-547.3999331976748,-406.84329958249475,-838.6651711863313
50,-542.7857977460598,-428.4681259865686,-699.1457036608983
100,-420.5109105859036,-94.69641537090533,-945.259445301287
150,-491.59383761798506,135.70057757318892,-918.065861517008
200,-72.1440288872935,257.4071730216914,-274.56707892032813
250,146.66091087220167,255.73300322446224,-138.12757237056562
300,65.62451384113061,261.9606992304189,-65.95883502369836
350,43.849075734990514,238.5498898588326,-294.40681391355974
400,92.08628487476199,266.4686740978327,-263.81994470045845
450,-4.869544553449282,263.7078055515739,-264.1954522835679
500,171.18181294357402,279.94434125841104,6.499010455490989
550,64.92888585380632,265.51786997407294,-77.29416096289978
600,-21.83257949108962,209.00109083125972,-148.75713619162116
650,59.49913732542011,268.863102836453,-115.38897473069571
700,256.6065538104573,297.3615587849574,39.12900384262463
750,110.09000837613792,306.32318316912347,-56.88676743467895
800,114.4371550149206,280.96700756956363,-88.60265281447407
850,118.17754692411617,292.64657265323945,-160.95539178083067
900,-58.83161804286806,283.3175134514195,-400.05081259273487
950,157.6823999411305,291.4447981168237,-19.827090310408636
