Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-130.3837788637823,85,0.9950195566196387,0.00496559332726813,0.0,0.25882352941176473,0.2,0.24705882352941178,0.29411764705882354
1,-151.01345117552444,73,0.9900639180555424,0.004931423418361956,0.0,0.3424657534246575,0.3150684931506849,0.1780821917808219,0.1643835616438356
2,-187.78967471007155,77,0.9851329607687281,0.004897488644030385,0.0,0.12987012987012986,0.35064935064935066,0.2727272727272727,0.24675324675324675
3,-169.32569982294189,100,0.9802265618354918,0.004863787386233744,0.0,0.23,0.22,0.34,0.21
4,-51.325282039346384,144,0.975344598944344,0.004830318038066636,0.0,0.25,0.20833333333333334,0.2847222222222222,0.2569444444444444
5,-104.37835661880703,71,0.9704869503929605,0.004797079003681315,0.0,0.2112676056338028,0.22535211267605634,0.323943661971831,0.23943661971830985
6,-125.3544042127561,63,0.9656534950851489,0.004764068698211598,0.0,0.2857142857142857,0.12698412698412698,0.2222222222222222,0.36507936507936506
7,-412.668285157574,89,0.9608441125278293,0.0047312855476972955,0.0,0.2247191011235955,0.30337078651685395,0.24719101123595505,0.2247191011235955
8,-102.42524407641233,75,0.956058682828031,0.004698727989009166,0.0,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666
9,-206.42453896943533,95,0.9512970866899032,0.004666394469774383,0.0,0.2631578947368421,0.24210526315789474,0.17894736842105263,0.3157894736842105
10,-154.37209209352812,72,0.9465592054117414,0.004634283448302516,0.0,0.18055555555555555,0.3472222222222222,0.16666666666666666,0.3055555555555556
11,-127.76957499127792,106,0.9418449208830285,0.004602393393512023,0.0,0.22641509433962265,0.2169811320754717,0.2358490566037736,0.32075471698113206
12,-229.63102555015496,90,0.9371541155814898,0.004570722784857245,0.0,0.2777777777777778,0.26666666666666666,0.24444444444444444,0.2111111111111111
13,-94.98007728266674,75,0.9324866725701636,0.004539270112255908,0.0,0.24,0.2,0.24,0.32
14,-213.12765596955603,75,0.9278424754944864,0.004508033876017119,0.0,0.22666666666666666,0.3333333333333333,0.14666666666666667,0.29333333333333333
15,-66.5712873964116,92,0.9232214085793918,0.004477012586769858,0.0,0.31521739130434784,0.22826086956521738,0.22826086956521738,0.22826086956521738
16,-488.7912401617341,113,0.9186233566264248,0.004446204765391968,0.0,0.18584070796460178,0.21238938053097345,0.22123893805309736,0.3805309734513274
17,-82.25354386106042,89,0.9140482050108695,0.004415608942939624,0.0,0.21348314606741572,0.21348314606741572,0.2696629213483146,0.30337078651685395
18,-90.52990057530637,109,0.9094958396788919,0.004385223660577296,0.0,0.21100917431192662,0.29357798165137616,0.26605504587155965,0.22935779816513763
19,-72.58105606594732,61,0.904966147144697,0.004355047469508188,0.0,0.19672131147540983,0.22950819672131148,0.26229508196721313,0.3114754098360656
20,-172.9372467441317,146,0.9004590144876992,0.004325078930905163,0.0,0.19863013698630136,0.21232876712328766,0.2808219178082192,0.3082191780821918
21,-96.3283745275233,67,0.8959743293497072,0.004295316615842131,0.0,0.2835820895522388,0.14925373134328357,0.208955223880597,0.3582089552238806
22,-153.41164235743895,114,0.8915119799321238,0.004265759105225923,0.0,0.21052631578947367,0.22807017543859648,0.22807017543859648,0.3333333333333333
23,-238.99290523275323,123,0.8870718549931581,0.004236404989728622,0.0,0.2032520325203252,0.2601626016260163,0.24390243902439024,0.2926829268292683
24,-104.84146683908921,79,0.8826538438450526,0.004207252869720371,0.0,0.189873417721519,0.24050632911392406,0.17721518987341772,0.3924050632911392
25,-318.63886067974397,66,0.878257836351324,0.0041783013552026335,0.0,0.22727272727272727,0.15151515151515152,0.19696969696969696,0.42424242424242425
26,-110.55560123079093,90,0.8738837229240176,0.004149549065741917,0.0,0.2111111111111111,0.2777777777777778,0.17777777777777778,0.3333333333333333
27,-150.2596604120228,85,0.8695313945209752,0.004120994630403953,0.0,0.2,0.2823529411764706,0.21176470588235294,0.3058823529411765
28,-88.93414341825363,101,0.8652007426431169,0.004092636687688333,0.0,0.31683168316831684,0.2376237623762376,0.1782178217821782,0.26732673267326734
29,-176.6273844157608,69,0.8608916593317363,0.004064473885463585,0.0,0.2028985507246377,0.2463768115942029,0.21739130434782608,0.3333333333333333
30,-310.60508731218425,84,0.8566040371658092,0.00403650488090271,0.0,0.23809523809523808,0.16666666666666666,0.2261904761904762,0.36904761904761907
31,-126.454041465581,86,0.852337769259316,0.004008728340419147,0.0,0.1744186046511628,0.3023255813953488,0.23255813953488372,0.29069767441860467
32,-326.5409268513064,106,0.8480927492585766,0.003981142939603193,0.0,0.22641509433962265,0.20754716981132076,0.19811320754716982,0.36792452830188677
33,-526.3457102117675,110,0.8438688713395993,0.003953747363158849,0.0,0.2727272727272727,0.14545454545454545,0.2,0.38181818181818183
34,-122.1840576298154,104,0.8396660302054431,0.003926540304841109,0.0,0.21153846153846154,0.25961538461538464,0.21153846153846154,0.3173076923076923
35,-197.03121850252114,98,0.8354841210835922,0.0038995204673936763,0.0,0.21428571428571427,0.1836734693877551,0.2653061224489796,0.336734693877551
36,-152.71123715690197,87,0.8313230397233444,0.003872686562487108,0.0,0.2988505747126437,0.2413793103448276,0.16091954022988506,0.2988505747126437
37,-137.51004868258264,98,0.8271826823932125,0.003846037310657387,0.0,0.21428571428571427,0.24489795918367346,0.20408163265306123,0.336734693877551
38,-344.8182032096644,110,0.8230629458783377,0.0038195714412449172,0.0,0.2,0.18181818181818182,0.2909090909090909,0.32727272727272727
39,-236.1701095433023,80,0.8189637274779172,0.003793287692333935,0.0,0.2875,0.1625,0.2,0.35
40,-143.503396892586,70,0.8148849250026439,0.0037671848106923425,0.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.3142857142857143
41,-190.9008110579158,81,0.8108264367721583,0.00374126155171195,0.0,0.2716049382716049,0.20987654320987653,0.14814814814814814,0.37037037037037035
42,-187.19154321079088,96,0.8067881616125144,0.003715516679349134,0.0,0.1875,0.2604166666666667,0.22916666666666666,0.3229166666666667
43,-415.4887029642603,86,0.8027699988536575,0.0036899489660659,0.0,0.2441860465116279,0.20930232558139536,0.19767441860465115,0.3488372093023256
44,-154.43333031949754,69,0.7987718483269142,0.003664557192771354,0.0,0.17391304347826086,0.2898550724637681,0.11594202898550725,0.42028985507246375
45,-348.96608767292173,102,0.7947936103624954,0.0036393401487635735,0.0,0.23529411764705882,0.19607843137254902,0.14705882352941177,0.4215686274509804
46,-96.64131396405345,95,0.7908351857870121,0.003614296631671881,0.0,0.17894736842105263,0.22105263157894736,0.2,0.4
