Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-368.15246593485585,-223.2517825672142,-481.5548955652239
50,-374.3089729282689,-243.82391292421022,-581.2185999691601
100,-197.942070325876,-85.42190889036927,-338.14509352567893
150,-80.09869634629165,15.732448624472426,-134.77804877622958
200,-289.60883512444855,-223.14719210739668,-371.5745063900392
250,-570.0720079763136,-42.40395020714749,-1329.629315770522
300,134.76465674052542,309.5225679008428,-55.75543396621805
350,193.43429543964425,260.82010198107,-18.370141551532797
400,127.4196361408256,278.3596804961837,-85.3934389331117
450,-123.12331433306333,235.0473173530008,-378.56483463926264
500,-149.06626681275884,205.03586091698264,-247.00098575667914
550,-22.47871190956558,279.93674338878577,-222.19595595373374
600,34.57932723219945,306.50865059604376,-297.4157219598473
650,-54.762975233863585,257.37981565561677,-303.9156130692843
700,-104.21292255373751,297.8370796250224,-263.92100602676794
750,-56.45020393845525,151.88705149711453,-154.73506457629387
800,-80.49637366456048,38.740101615046285,-152.73858369069853
850,-81.56701606521419,100.43524437847367,-229.76521687626388
900,-62.333585007499025,242.15592381646832,-199.62215897055313
950,-137.9490737235405,34.45899161092308,-258.52503066795623
