Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-112.16939972754076,132,0.9950195566196387,0.00496559332726813,0.0,0.23484848484848486,0.25,0.2878787878787879,0.22727272727272727
1,-88.33735969994034,117,0.9900639180555424,0.004931423418361956,0.0,0.21367521367521367,0.2564102564102564,0.28205128205128205,0.24786324786324787
2,-443.70874975740895,81,0.9851329607687281,0.004897488644030385,0.0,0.19753086419753085,0.18518518518518517,0.25925925925925924,0.35802469135802467
3,-104.09688008002888,93,0.9802265618354918,0.004863787386233744,0.0,0.2903225806451613,0.1827956989247312,0.3225806451612903,0.20430107526881722
4,-119.3575382268153,107,0.975344598944344,0.004830318038066636,0.0,0.29906542056074764,0.1588785046728972,0.2336448598130841,0.308411214953271
5,-141.60375962345023,90,0.9704869503929605,0.004797079003681315,0.0,0.28888888888888886,0.26666666666666666,0.23333333333333334,0.2111111111111111
6,-215.49364578846263,76,0.9656534950851489,0.004764068698211598,0.0,0.19736842105263158,0.32894736842105265,0.17105263157894737,0.3026315789473684
7,-84.3057199442782,71,0.9608441125278293,0.0047312855476972955,0.0,0.323943661971831,0.2676056338028169,0.23943661971830985,0.16901408450704225
8,-191.17328511455122,110,0.956058682828031,0.004698727989009166,0.0,0.24545454545454545,0.17272727272727273,0.2727272727272727,0.3090909090909091
9,-258.9827737646144,100,0.9512970866899032,0.004666394469774383,0.0,0.37,0.22,0.19,0.22
10,-154.1438315545625,84,0.9465592054117414,0.004634283448302516,0.0,0.2976190476190476,0.27380952380952384,0.19047619047619047,0.23809523809523808
11,-327.99263808706286,92,0.9418449208830285,0.004602393393512023,0.0,0.18478260869565216,0.2826086956521739,0.29347826086956524,0.2391304347826087
12,-117.32895688158965,70,0.9371541155814898,0.004570722784857245,0.0,0.22857142857142856,0.2,0.3,0.2714285714285714
13,-237.62573849259502,77,0.9324866725701636,0.004539270112255908,0.0,0.35064935064935066,0.14285714285714285,0.2597402597402597,0.24675324675324675
14,-414.6584964799507,119,0.9278424754944864,0.004508033876017119,0.0,0.3025210084033613,0.2184873949579832,0.2605042016806723,0.2184873949579832
15,-92.36476519528392,72,0.9232214085793918,0.004477012586769858,0.0,0.25,0.2638888888888889,0.20833333333333334,0.2777777777777778
16,-130.74761549237058,123,0.9186233566264248,0.004446204765391968,0.0,0.2926829268292683,0.21138211382113822,0.25203252032520324,0.24390243902439024
17,-90.16404748888426,107,0.9140482050108695,0.004415608942939624,0.0,0.29906542056074764,0.18691588785046728,0.24299065420560748,0.27102803738317754
18,-229.1958713955984,126,0.9094958396788919,0.004385223660577296,0.0,0.30158730158730157,0.20634920634920634,0.2619047619047619,0.23015873015873015
19,-164.35958146896695,132,0.904966147144697,0.004355047469508188,0.0,0.3106060606060606,0.23484848484848486,0.25757575757575757,0.19696969696969696
20,-231.98206542130748,74,0.9004590144876992,0.004325078930905163,0.0,0.25675675675675674,0.16216216216216217,0.21621621621621623,0.36486486486486486
21,-70.25021586312624,109,0.8959743293497072,0.004295316615842131,0.0,0.22935779816513763,0.28440366972477066,0.22018348623853212,0.26605504587155965
22,-280.0535757767832,69,0.8915119799321238,0.004265759105225923,0.0,0.36231884057971014,0.2463768115942029,0.2753623188405797,0.11594202898550725
23,-462.2506661790997,114,0.8870718549931581,0.004236404989728622,0.0,0.2894736842105263,0.24561403508771928,0.20175438596491227,0.2631578947368421
24,-111.14456598901026,67,0.8826538438450526,0.004207252869720371,0.0,0.3582089552238806,0.29850746268656714,0.11940298507462686,0.22388059701492538
25,-194.62953811005704,74,0.878257836351324,0.0041783013552026335,0.0,0.3918918918918919,0.17567567567567569,0.16216216216216217,0.2702702702702703
26,-141.70659721580097,84,0.8738837229240176,0.004149549065741917,0.0,0.2619047619047619,0.20238095238095238,0.14285714285714285,0.39285714285714285
27,-82.40381989340659,106,0.8695313945209752,0.004120994630403953,0.0,0.3490566037735849,0.20754716981132076,0.18867924528301888,0.25471698113207547
28,-136.3520601989434,64,0.8652007426431169,0.004092636687688333,0.0,0.265625,0.25,0.140625,0.34375
29,-235.5935918025931,86,0.8608916593317363,0.004064473885463585,0.0,0.38372093023255816,0.1744186046511628,0.19767441860465115,0.2441860465116279
30,-7.61568853317786,95,0.8566040371658092,0.00403650488090271,0.0,0.24210526315789474,0.3263157894736842,0.1368421052631579,0.29473684210526313
31,-126.34196169127205,80,0.852337769259316,0.004008728340419147,0.0,0.2375,0.2,0.2,0.3625
32,-178.37168516600894,63,0.8480927492585766,0.003981142939603193,0.0,0.25396825396825395,0.1746031746031746,0.20634920634920634,0.36507936507936506
33,-356.4078180135466,105,0.8438688713395993,0.003953747363158849,0.0,0.3238095238095238,0.2,0.23809523809523808,0.23809523809523808
34,-82.18029288884706,71,0.8396660302054431,0.003926540304841109,0.0,0.2535211267605634,0.16901408450704225,0.28169014084507044,0.29577464788732394
35,-49.85575518748834,111,0.8354841210835922,0.0038995204673936763,0.0,0.2972972972972973,0.24324324324324326,0.23423423423423423,0.22522522522522523
36,-154.47748276285384,61,0.8313230397233444,0.003872686562487108,0.0,0.2786885245901639,0.13114754098360656,0.11475409836065574,0.47540983606557374
37,-137.89736868692427,113,0.8271826823932125,0.003846037310657387,0.0,0.4778761061946903,0.21238938053097345,0.18584070796460178,0.12389380530973451
38,-182.92679817115436,56,0.8230629458783377,0.0038195714412449172,0.0,0.375,0.16071428571428573,0.21428571428571427,0.25
39,-142.55462969672513,66,0.8189637274779172,0.003793287692333935,0.0,0.4090909090909091,0.16666666666666666,0.15151515151515152,0.2727272727272727
40,-110.93279672334853,91,0.8148849250026439,0.0037671848106923425,0.0,0.45054945054945056,0.21978021978021978,0.16483516483516483,0.16483516483516483
41,-188.9859278980516,63,0.8108264367721583,0.00374126155171195,0.0,0.36507936507936506,0.2698412698412698,0.12698412698412698,0.23809523809523808
42,-29.500421389867228,103,0.8067881616125144,0.003715516679349134,0.0,0.22330097087378642,0.2524271844660194,0.24271844660194175,0.2815533980582524
43,24.90405886220705,107,0.8027699988536575,0.0036899489660659,0.0,0.3644859813084112,0.2336448598130841,0.205607476635514,0.19626168224299065
44,-171.64057077958304,87,0.7987718483269142,0.003664557192771354,0.0,0.25287356321839083,0.16091954022988506,0.2413793103448276,0.3448275862068966
45,-210.7001499399654,80,0.7947936103624954,0.0036393401487635735,0.0,0.3875,0.175,0.15,0.2875
46,-124.22364063651061,53,0.7908351857870121,0.003614296631671881,0.0,0.1509433962264151,0.2641509433962264,0.09433962264150944,0.49056603773584906
47,-117.39954456966804,89,0.7868964759210023,0.0035894254473995144,0.0,0.3146067415730337,0.19101123595505617,0.2247191011235955,0.2696629213483146
48,-128.02297471631636,71,0.7829773825764719,0.00356472541006669,0.0,0.3380281690140845,0.19718309859154928,0.16901408450704225,0.29577464788732394
49,-108.61470527589434,68,0.7790778080544463,0.0035401953419540613,0.0,0.27941176470588236,0.2647058823529412,0.11764705882352941,0.3382352941176471
50,-107.05595724986952,103,0.7751976551425351,0.0035158340734465607,0.0,0.36893203883495146,0.23300970873786409,0.13592233009708737,0.2621359223300971
51,-141.2459743810397,97,0.771336827112509,0.003491640442977634,0.0,0.36082474226804123,0.26804123711340205,0.1958762886597938,0.17525773195876287
52,-164.971087847055,91,0.7674952277178876,0.0034676132969738557,0.0,0.2857142857142857,0.25274725274725274,0.17582417582417584,0.2857142857142857
53,-86.9775732057644,72,0.7636727611915411,0.003443751489799924,0.0,0.2916666666666667,0.2638888888888889,0.2638888888888889,0.18055555555555555
54,-143.633822701241,81,0.7598693322433026,0.0034200538837040368,0.0,0.4567901234567901,0.13580246913580246,0.24691358024691357,0.16049382716049382
55,-59.077220319508584,62,0.7560848460575919,0.0033965193487636436,0.0,0.46774193548387094,0.16129032258064516,0.1774193548387097,0.1935483870967742
56,-40.707771581996184,76,0.7523192082910528,0.003373146762831569,1.431740701234598,0.25,0.18421052631578946,0.32894736842105265,0.23684210526315788
57,-199.25702169233483,149,0.748572325070201,0.0033499350114825064,1.0762312142823383,0.15436241610738255,0.2483221476510067,0.3691275167785235,0.22818791946308725
