Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-590.0652390308449,-383.3681891442871,-774.5859253839338
50,-639.2553050923286,-425.85300390926494,-768.1629145878795
100,-208.56358246991303,-124.79159034097873,-312.8691544181359
150,-321.15988372345566,-186.85063937462505,-465.2294365660166
200,-323.84947180774213,-232.10359225712858,-382.61945204166204
250,-231.3853193480595,-53.077168609918246,-308.47900805585743
300,195.05735710827793,244.11928286732945,104.5335748352556
350,-41.59045186349199,170.0125831988267,-309.56834516154385
400,-1.9277332556598679,291.1182434816486,-156.7498395627547
450,-19.374290070604566,247.1910368121526,-267.3772466892295
500,58.31704961398575,297.3455390346086,-110.69936093577755
550,-75.61609116851389,295.05674236675395,-305.6016447189658
600,-170.98182289612652,51.06629698586093,-376.4205336968496
650,-155.45376390537123,-75.17119913806565,-192.92708808349937
700,-92.51235646070947,34.06479136118929,-163.2227169246909
750,-111.70850171920365,-18.421575341370684,-318.0730295150702
800,-54.36460844513745,283.8069602878259,-149.98850971595917
850,-129.0142956432148,-48.61585167410031,-295.74814448298366
900,-75.74900671919289,40.237828939475435,-160.929158324536
950,-5.972743206178947,236.76567089076346,-119.56415615565524
