Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-263.2758846393234,-102.1151648951573,-452.39492648225206
50,-282.85609566829146,18.337224857640635,-416.6624652135095
100,-143.14661127689186,-120.74344418279108,-189.99348804498365
150,-221.6120630730017,-96.26504293575735,-404.10139211984125
200,-10.079555644956873,238.96820220682972,-136.0575371502899
250,-38.860245075364375,178.8213306558731,-217.0284820636042
300,88.12739798680258,262.7001381397025,-204.54255674929277
350,217.06451858719015,266.5653390211506,102.90076791199802
400,202.31146106174555,253.42209528886443,-28.384781067763456
450,187.0620527047463,291.85241990562554,-243.45576964930413
500,226.1069478169788,293.6034973050588,21.39110188523442
550,228.44353164069759,284.53901524406166,10.404153142715188
600,208.8202775353996,294.6986013626381,-207.23827402975405
650,-102.81669436324087,257.8783682321568,-210.44564331673405
700,132.26606696151018,287.3978346185403,-284.1833093355385
750,89.66540700716658,247.0589082059472,-399.46399183003524
800,-106.47208409001287,249.12025680426103,-478.79810481259256
850,-273.9441640851489,-63.31625470904778,-564.8602288955469
900,-313.00308846671226,-66.85022416825015,-576.429956435961
950,-502.85079531222055,-419.9100423931996,-587.2442790263871
