Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-694.5780154507108,-404.7412830187301,-1192.7661697004846
50,-113.46328506203244,-76.04957848865745,-151.74923777219854
100,-115.2900729358062,-84.66432108899046,-145.26964493041646
150,-117.32786567593568,-32.15613616916106,-183.81597349301305
200,-120.80138717435709,-18.760092566655644,-209.52579171814784
250,-11.374531934989893,183.97964630250914,-191.42202846848198
300,-57.4214604930831,-30.774088665577338,-84.07048074135236
350,78.21116659992222,300.7750739504353,-212.79855913312574
400,-55.26229871761409,246.5003658304724,-257.94878470459116
450,-89.11052859598055,15.523618937196886,-162.94441119338939
500,-395.6120918131021,-195.24922284853005,-532.0112984028561
550,-282.57574109230626,-148.6249865959328,-441.408123759131
600,-313.87061501707507,-224.58705718569945,-419.7308187730322
650,-262.8334922044031,-172.38022463494423,-350.2218195215379
700,-216.2634782942427,-86.07748119169051,-265.9496352164929
750,-243.66121360032167,-187.28372495693446,-315.97119294695796
800,-264.19182677492915,-137.2937761328245,-472.51506526722443
850,-286.5121056689467,-189.26158397610536,-372.06828862426204
900,-152.44498342088306,10.20158772388801,-339.3760425955936
950,-222.5552926456508,-12.781946471801234,-390.0878745127071
