Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-326.40212886579377,97,0.9950195566196387,0.00496559332726813,0.0,0.26804123711340205,0.28865979381443296,0.24742268041237114,0.1958762886597938
1,-100.39921096787793,85,0.9900639180555424,0.004931423418361956,0.0,0.2,0.35294117647058826,0.21176470588235294,0.23529411764705882
2,-121.05805655337929,90,0.9851329607687281,0.004897488644030385,0.0,0.2222222222222222,0.28888888888888886,0.2111111111111111,0.2777777777777778
3,-78.73625065309815,100,0.9802265618354918,0.004863787386233744,0.0,0.29,0.21,0.23,0.27
4,-170.20783144294924,105,0.975344598944344,0.004830318038066636,0.0,0.24761904761904763,0.24761904761904763,0.24761904761904763,0.2571428571428571
5,-100.03861516708382,69,0.9704869503929605,0.004797079003681315,0.0,0.3333333333333333,0.2753623188405797,0.17391304347826086,0.21739130434782608
6,-172.74442812192729,102,0.9656534950851489,0.004764068698211598,0.0,0.30392156862745096,0.29411764705882354,0.21568627450980393,0.18627450980392157
7,-216.62993534917473,84,0.9608441125278293,0.0047312855476972955,0.0,0.27380952380952384,0.25,0.23809523809523808,0.23809523809523808
8,-173.52982989118613,111,0.956058682828031,0.004698727989009166,0.0,0.2882882882882883,0.17117117117117117,0.27927927927927926,0.26126126126126126
9,-101.6554671844292,72,0.9512970866899032,0.004666394469774383,0.0,0.2916666666666667,0.20833333333333334,0.2361111111111111,0.2638888888888889
10,-295.48925275193676,155,0.9465592054117414,0.004634283448302516,0.0,0.25161290322580643,0.2645161290322581,0.3161290322580645,0.16774193548387098
11,-99.0349113766785,97,0.9418449208830285,0.004602393393512023,0.0,0.26804123711340205,0.25773195876288657,0.30927835051546393,0.16494845360824742
12,-129.37862028465213,147,0.9371541155814898,0.004570722784857245,0.0,0.23809523809523808,0.24489795918367346,0.2789115646258503,0.23809523809523808
13,-237.77046419945862,72,0.9324866725701636,0.004539270112255908,0.0,0.20833333333333334,0.25,0.3055555555555556,0.2361111111111111
14,-88.64157693354622,62,0.9278424754944864,0.004508033876017119,0.0,0.24193548387096775,0.3548387096774194,0.12903225806451613,0.27419354838709675
15,-220.82537944330534,128,0.9232214085793918,0.004477012586769858,0.0,0.1953125,0.171875,0.328125,0.3046875
16,-87.91912535203119,123,0.9186233566264248,0.004446204765391968,0.0,0.21951219512195122,0.25203252032520324,0.3008130081300813,0.22764227642276422
17,-225.27999485915737,82,0.9140482050108695,0.004415608942939624,0.0,0.2073170731707317,0.3048780487804878,0.24390243902439024,0.24390243902439024
