Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-272.68546331366235,-41.5670839170522,-557.2426865913257
50,-450.98595663679953,-130.38396784170104,-1355.4418661666916
100,-166.43219030852427,-102.83222962949664,-259.3962312965256
150,-143.95050002585663,-42.667909715315496,-292.62526416409366
200,-212.57828913718237,82.56381771696364,-513.0681608975227
250,-30.39975691373549,255.9860691018789,-117.34124481894412
300,-5.20265047280372,252.61900828364332,-121.05326552218278
350,109.52148481623185,254.3135730042305,-161.28257590384723
400,107.0929758070245,269.93145769761145,-28.481464136058335
450,29.386757167601036,272.5743742285317,-161.49691058021784
500,93.22728820230772,260.36087861666385,-153.73571430203637
550,54.37622870870854,276.0128495919708,-153.09379024425687
600,42.47335752925203,268.8486606186342,-173.34069741922212
650,115.30263736320015,258.72475753752065,-25.87706882934644
700,129.5334180207746,289.0768877910415,-279.9590521737974
750,79.16638280746645,272.3501762870166,-382.74837890009684
800,112.68172977562799,250.33397388481384,-335.60570717527855
850,1.3410713389061482,247.3051216526792,-208.92174354542294
900,112.84933839946703,247.29986241259357,-154.36806084279772
950,191.83724987461397,301.2199377487358,-136.614226193415
