Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-763.1211640265911,-222.39920164162857,-1879.2754935101505
50,-725.6441017190152,-178.72182345922295,-1785.2306187162812
100,-718.1110870169099,-373.46063401853866,-1059.8793099581385
150,-171.7722168227122,-82.7204127462751,-419.1941743084282
200,-380.8735893046022,-215.43846089468192,-675.2463674138436
250,-72.47981636405316,28.255217648704292,-135.1894290907988
300,-57.08790753400051,-20.35167952182499,-157.21939646061367
350,-19.27028712010401,11.507610915683856,-50.45792289638055
400,242.92303310394033,305.93148751257957,134.31307363261993
450,-59.27630991388505,54.66448786486944,-128.2842918348744
500,151.05142181748977,306.91686482317505,-112.46638353630595
550,230.52327467799037,300.64932199634444,112.31369062292922
600,142.78951979618404,269.6965501062684,1.9492715108009975
650,133.18004481400044,278.8049075447263,-275.41411113180953
700,117.24114156769213,278.37801424280684,-65.32082236383457
750,120.56796165845063,291.01168236672015,-206.03995169533772
800,52.02230839740214,278.6786290682409,-53.173225749651536
850,169.7771670805243,293.5895314474723,12.749416754622473
900,34.50194147302033,279.322990544574,-358.7044162427329
950,122.28202175932206,276.96052226491315,-330.30699194204635
