Episode,Total_Reward,Steps,Epsilon,Learning_Rate,Average_Loss,Action_0_Percentage,Action_1_Percentage,Action_2_Percentage,Action_3_Percentage
0,-75.26412324387319,65,0.9950195566196387,0.000994896213044336,0.0,0.27692307692307694,0.2923076923076923,0.16923076923076924,0.26153846153846155
1,-121.73534337547316,66,0.9900639180555424,0.0009898184747299606,0.0,0.30303030303030304,0.3181818181818182,0.16666666666666666,0.21212121212121213
2,-95.76661240077983,68,0.9851329607687281,0.0009847666521101584,0.0,0.27941176470588236,0.27941176470588236,0.27941176470588236,0.16176470588235295
3,-173.5755732233074,114,0.9802265618354918,0.0009797406129167456,0.0,0.23684210526315788,0.21929824561403508,0.2807017543859649,0.2631578947368421
4,-42.76845535807905,133,0.975344598944344,0.0009747402255566067,0.0,0.21804511278195488,0.2932330827067669,0.18045112781954886,0.3082706766917293
5,-310.5703877281017,112,0.9704869503929605,0.0009697653591082497,0.0,0.22321428571428573,0.23214285714285715,0.26785714285714285,0.2767857142857143
6,-138.69021600944973,91,0.9656534950851489,0.000964815883318378,0.0,0.31868131868131866,0.26373626373626374,0.1978021978021978,0.21978021978021978
7,-175.56487988616806,118,0.9608441125278293,0.0009598916685984801,0.0,0.13559322033898305,0.3135593220338983,0.2796610169491525,0.2711864406779661
8,-451.4783664479741,113,0.956058682828031,0.0009549925860214364,0.0,0.2831858407079646,0.1415929203539823,0.3274336283185841,0.24778761061946902
9,-84.51565535846483,63,0.9512970866899032,0.0009501185073181442,0.0,0.30158730158730157,0.2222222222222222,0.1746031746031746,0.30158730158730157
10,-276.07426949110106,98,0.9465592054117414,0.0009452693048741588,0.0,0.25510204081632654,0.21428571428571427,0.30612244897959184,0.22448979591836735
11,-244.6374279652407,74,0.9418449208830285,0.0009404448517263523,0.0,0.35135135135135137,0.24324324324324326,0.13513513513513514,0.2702702702702703
12,-96.4998935446036,65,0.9371541155814898,0.0009356450215595899,0.0,0.13846153846153847,0.3230769230769231,0.2923076923076923,0.24615384615384617
13,-125.59121702633941,68,0.9324866725701636,0.000930869688703422,0.0,0.35294117647058826,0.11764705882352941,0.22058823529411764,0.3088235294117647
14,-213.16745061393462,113,0.9278424754944864,0.0009261187281287943,0.0,0.2920353982300885,0.21238938053097345,0.21238938053097345,0.2831858407079646
15,-295.8798357517114,76,0.9232214085793918,0.0009213920154447743,0.0,0.23684210526315788,0.32894736842105265,0.23684210526315788,0.19736842105263158
16,-97.5472958346914,61,0.9186233566264248,0.0009166894268952941,0.0,0.29508196721311475,0.21311475409836064,0.22950819672131148,0.26229508196721313
17,-161.47942035275395,125,0.9140482050108695,0.0009120108393559106,0.0,0.336,0.24,0.208,0.216
18,-272.60041985455706,142,0.9094958396788919,0.0009073561303305816,0.0,0.28169014084507044,0.2676056338028169,0.30985915492957744,0.14084507042253522
19,-97.46232500298794,92,0.904966147144697,0.0009027251779484585,0.0,0.31521739130434784,0.22826086956521738,0.22826086956521738,0.22826086956521738
20,-114.62056925862618,72,0.9004590144876992,0.0008981178609606956,0.0,0.3333333333333333,0.18055555555555555,0.1527777777777778,0.3333333333333333
21,-337.0190737872475,87,0.8959743293497072,0.0008935340587372753,0.0,0.28735632183908044,0.2988505747126437,0.21839080459770116,0.19540229885057472
22,-110.00512433106162,102,0.8915119799321238,0.0008889736512638504,0.0,0.2647058823529412,0.17647058823529413,0.3235294117647059,0.23529411764705882
23,-164.3365258821724,74,0.8870718549931581,0.0008844365191386009,0.0,0.28378378378378377,0.28378378378378377,0.16216216216216217,0.2702702702702703
24,-115.07506380381665,72,0.8826538438450526,0.0008799225435691082,0.0,0.2777777777777778,0.2638888888888889,0.25,0.20833333333333334
25,-138.47143243192693,73,0.878257836351324,0.0008754316063692454,0.0,0.2191780821917808,0.2602739726027397,0.2054794520547945,0.3150684931506849
26,-141.05556935395612,82,0.8738837229240176,0.0008709635899560819,0.0,0.3902439024390244,0.14634146341463414,0.23170731707317074,0.23170731707317074
27,-324.52632627745265,96,0.8695313945209752,0.0008665183773468056,0.0,0.3125,0.20833333333333334,0.23958333333333334,0.23958333333333334
28,-187.81347593544928,63,0.8652007426431169,0.0008620958521556597,0.0,0.23809523809523808,0.1746031746031746,0.23809523809523808,0.3492063492063492
29,-81.49123246441623,63,0.8608916593317363,0.0008576958985908955,0.0,0.4444444444444444,0.15873015873015872,0.19047619047619047,0.20634920634920634
30,-100.59144186168312,92,0.8566040371658092,0.0008533184014517406,0.0,0.2717391304347826,0.20652173913043478,0.2608695652173913,0.2608695652173913
31,-96.05294077771777,65,0.852337769259316,0.000848963246125383,0.0,0.2923076923076923,0.23076923076923078,0.18461538461538463,0.2923076923076923
32,-83.03618205954409,79,0.8480927492585766,0.0008446303185839699,0.0,0.25316455696202533,0.17721518987341772,0.2911392405063291,0.27848101265822783
33,-97.01389955746485,135,0.8438688713395993,0.0008403195053816226,0.0,0.32592592592592595,0.1925925925925926,0.28888888888888886,0.1925925925925926
34,-100.07461908139737,94,0.8396660302054431,0.0008360306936514657,0.0,0.3829787234042553,0.23404255319148937,0.2127659574468085,0.1702127659574468
35,-105.74549790860098,72,0.8354841210835922,0.0008317637711026725,0.0,0.3611111111111111,0.19444444444444445,0.18055555555555555,0.2638888888888889
36,-358.74071911473965,81,0.8313230397233444,0.0008275186260175247,0.0,0.3333333333333333,0.32098765432098764,0.20987654320987653,0.13580246913580246
37,-271.2185538053693,108,0.8271826823932125,0.0008232951472484873,0.0,0.26851851851851855,0.26851851851851855,0.21296296296296297,0.25
38,-130.8249356025976,92,0.8230629458783377,0.0008190932242152989,0.0,0.42391304347826086,0.18478260869565216,0.22826086956521738,0.16304347826086957
39,-98.04659733162627,100,0.8189637274779172,0.000814912746902076,0.0,0.32,0.22,0.19,0.27
40,-358.6092170060735,97,0.8148849250026439,0.0008107536058544327,0.0,0.25773195876288657,0.30927835051546393,0.30927835051546393,0.12371134020618557
41,-81.87361813441926,107,0.8108264367721583,0.0008066156921766152,0.0,0.18691588785046728,0.2523364485981308,0.308411214953271,0.2523364485981308
42,-283.99392468693594,91,0.8067881616125144,0.0008024988975286502,0.0,0.3626373626373626,0.2087912087912088,0.24175824175824176,0.18681318681318682
43,-231.38683616497298,73,0.8027699988536575,0.0007984031141235085,0.0,0.3424657534246575,0.2465753424657534,0.1643835616438356,0.2465753424657534
44,-145.13363895215463,100,0.7987718483269142,0.0007943282347242834,0.0,0.27,0.28,0.32,0.13
45,-261.76717559911805,120,0.7947936103624954,0.0007902741526413818,0.0,0.31666666666666665,0.25833333333333336,0.21666666666666667,0.20833333333333334
46,-104.50072940066096,113,0.7908351857870121,0.0007862407617297322,0.0,0.34513274336283184,0.25663716814159293,0.20353982300884957,0.19469026548672566
47,-283.4810712717142,102,0.7868964759210023,0.0007822279563860046,0.0,0.29411764705882354,0.2549019607843137,0.22549019607843138,0.22549019607843138
