Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-498.90719842948374,-111.99021603246811,-1344.2619082283627
50,-525.4597911719812,-152.63280669795904,-1399.4400672728934
100,-143.60367745705983,-107.70120639288767,-317.0144695351928
150,-155.00513580902626,-92.50316435384634,-263.09347406776175
200,32.63673867496821,197.10108389935715,-107.98407824014613
250,187.0525727210054,297.9991343980201,92.94799680673975
300,143.3577887267046,267.34627934696744,-44.27318182217481
350,166.71931109066603,269.7089449200944,-139.92101948247347
400,247.07179165690133,278.127613845214,172.12086529913836
450,210.5348417446502,244.7824563018733,96.6040883579643
500,262.5498190896317,290.8141314209645,182.0255439309829
550,212.163074519654,265.17894428607167,112.80908570764888
600,246.75988491727554,285.2983560836293,112.49576330585793
650,164.28711291608533,265.6678255581877,115.737973626159
700,171.74969564504227,269.2535489556769,108.06968304939497
750,233.37116487431945,289.9899101999299,138.04353709764777
800,222.88820769920895,282.9555030839531,90.79100535953516
850,178.22441888938482,256.14682693803076,92.26100304842777
900,222.84605983098754,265.8583573883182,135.68102273364028
950,220.20611502693887,269.42226240649325,143.8462542966044
