Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-545.816500370752,-398.8802954476458,-882.9391299561851
50,-453.9937376908514,-305.3025215481693,-638.0046155157673
100,-220.72659281564125,-83.12290372592186,-478.93577265818357
150,-60.63797324216237,57.92321699229588,-152.5870787347785
200,-139.39319978215633,-89.67188384852797,-184.66978102902738
250,-41.858376018302565,173.8403614053702,-122.21760851223672
300,206.5863937988748,270.46913689713483,127.71961457588577
350,214.84210872860854,300.11517200429205,34.656118180533824
400,201.9291972912157,258.34072803693965,46.95161635785715
450,204.10877345142353,280.00655643192715,118.33324104934411
500,184.77786183645577,262.50105235649585,79.66102573017741
550,232.98432294296686,274.6217412119854,151.87409383549127
600,222.57551115637847,263.26756718925344,111.48570624973426
650,228.65965966488966,285.7462137622731,90.25829193678459
700,261.48130098437423,285.710517871551,196.81998386008982
750,269.12163972697385,280.08443192858476,253.91715652139538
800,241.29850468323974,285.8408304775064,157.9087492094829
850,266.58279143693744,303.3695113594807,231.43303016250155
900,217.67582114343517,293.4544565170803,20.177572479058156
950,197.0961168440245,278.92538228288754,-17.517134312746563
