Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-873.8371669532833,-304.55998164946993,-2656.0990071717083
50,-700.7568522225852,-422.24253784746605,-1299.1833140465471
100,-85.28828225475749,162.29922154696106,-232.41694683197358
150,-264.6728806913695,-140.3514817566141,-381.2457416905935
200,-103.53901709261734,-72.53993940200648,-151.27683321020257
250,165.89198904367348,250.7182157970616,-30.335092766828012
300,94.52668565543529,250.0404116850843,-161.59468920833854
350,169.81712963217183,271.1524386205946,-170.74014208458786
400,140.87644810738703,286.6349629675399,-68.48466483290174
450,245.77232415981615,278.31307836977123,161.46721284156567
500,213.7766060992345,271.79277239711314,84.70676116720797
550,250.9819425055087,276.5609981378232,145.79536368234756
600,149.0634344453902,266.47914571079826,-25.453820791803608
650,166.3793978352456,266.07988928991233,-39.17118699031167
700,194.60942422029927,294.4416705580315,96.09973720608164
750,195.61228464759537,283.4939812145358,-79.00217867900012
800,168.52786631025742,274.8453123685999,-94.44571673741791
850,208.15690963534652,292.4885712498145,87.42108523815469
900,213.09844570388591,285.30330356263005,76.40497214168042
950,204.1346706703339,312.42567812142255,56.664215621988035
