Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-726.8752842529341,-183.2874568245044,-1432.4106256975558
50,-974.9876856713432,-529.0626689733667,-1895.2051660889526
100,-106.24727878533898,-74.26817397863576,-147.6842702831493
150,-51.35905365496702,87.25322402534192,-93.7712415739483
200,-31.597770807389384,125.62693173763287,-205.3605631999982
250,159.27313774957707,282.8127991060915,-78.77670492398381
300,158.27515576874367,280.092935412508,-31.62511780236
350,175.2679119286891,259.68506766785185,-32.87481089576032
400,135.1039328304028,271.15839217547676,-186.28311893627802
450,196.188040199736,280.75281299436494,-12.392745861482382
500,164.99578253948889,268.7330294549903,59.10989923742483
550,126.68081814603696,263.7164418313317,-170.2179508127706
600,175.4555739374467,276.265761553316,-0.44603147503518414
650,235.01792056878884,300.4269872014318,182.41785253873604
700,243.97144906644309,298.6920613491322,126.89692678921679
750,230.39092697150772,284.24958971895444,104.74476797226663
800,243.2290514954647,286.94107841760365,136.49073162116193
850,191.7752474476631,308.62323726807693,16.615406331127303
900,150.75698178156335,297.6925711636087,17.023925746391285
950,120.02037345508077,287.0633303340048,-8.926376470763358
