Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-238.92219077251062,-58.896307184317365,-458.2126106660916
50,-278.53559141001574,-144.89391449000942,-399.635751991922
100,-162.2717432909854,-6.361299204043846,-344.13496763922643
150,-168.5266475815413,-84.74035200310402,-237.1322486741751
200,-74.32248084360768,-20.28290139803468,-142.7991525764429
250,154.414693732116,227.22018198200936,-38.683760774532075
300,221.39047972549525,287.40933090241776,-51.76554331497725
350,179.86600246615643,253.8911435962072,68.08153769819616
400,98.33459606790173,280.01847604733086,-211.5932396702537
450,207.6665197902742,274.9595866753908,47.27509463079582
500,234.771671455656,291.2359025187028,113.59750796845955
550,251.90905280614774,287.09287075081943,151.73767137415507
600,251.31508973811347,282.1407768965446,203.785074190703
650,242.8223375810665,296.11044486589594,154.97094105739146
700,220.51890390403122,272.2089632197478,113.52432634428718
750,156.17143217654194,270.8129065092783,-93.64601516676706
800,207.60562890858355,269.10133274207305,34.03395202617958
850,202.33328076355014,263.4730287635605,135.11748059388023
900,224.55860237040207,288.29459950351895,-2.780191014331095
950,211.7030783131811,304.6323860837388,27.469893743181032
