Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-712.0571651336916,-532.420055917482,-857.9611612958163
50,-100.86739673563663,-5.274993716242669,-163.66956172523206
100,-139.71046968254092,-99.06032033480062,-200.85350819644628
150,-93.56497404790011,-54.82006314722487,-117.61297293036945
200,-121.03368848532816,-27.077720825144315,-160.6862292211108
250,83.8229066809745,239.22180266733216,-164.74192731924177
300,189.01099135004392,259.7084103203847,-19.605892295010065
350,205.61675406908552,302.231503390548,60.451212829976164
400,233.41449465715763,267.50935770664586,131.9074818761699
450,155.38895194305505,273.09071971576583,-62.91710447588922
500,174.57302558954646,280.1158206545241,0.028034225090252107
550,173.82358264960288,262.81345752930577,-0.9954736441675323
600,237.2649334352583,275.60245481472913,153.5365615302348
650,242.45267067868832,288.5988235231483,195.40675950229067
700,236.9932567943618,281.5980926732508,141.28690823384702
750,242.56931688474475,296.58365183358364,157.79762647991313
800,190.7428316603257,272.39132236649385,-119.35794551351864
850,199.06875631070162,263.12367472269904,116.1855676448732
900,202.65457894360483,297.60178792118177,-64.84515374297237
950,195.15463411662606,277.4589749967755,-63.84900894785335
