Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-555.8797179432121,-431.9183442407527,-715.9266745184827
50,-497.43815297878,-360.80351427684747,-823.142615591991
100,-179.21992379091316,-139.29147025526046,-215.02737075920777
150,-74.23905548147876,-31.783448264994238,-118.47271556076117
200,-226.50026726710107,-119.12207553761655,-287.533788882349
250,130.62971859373798,231.42660527513442,-22.233954736449068
300,174.63650602474004,262.49820976615706,108.05781629599943
350,194.8259075428169,265.3061166268694,-4.135127406253375
400,228.4140683916281,272.35785454934984,137.03515730140103
450,230.86014232526614,298.52069776622835,141.70575488986873
500,204.56006328168516,281.1556463287851,-11.141836126609338
550,208.7813269165966,298.22877583390266,44.0719592086146
600,220.37622880217404,303.4019039290871,85.02793968265817
650,232.53893016920807,296.0611262347576,122.15228426294495
700,254.33026599898258,308.3257979735672,210.11979925167185
750,183.48874672185195,290.7099075430483,-38.07633927480889
800,193.3649789913484,264.53205823980534,104.98876655621028
850,146.27695497056715,267.64708189609905,-181.19548193355632
900,181.64824452418028,266.5814163700219,50.12359567502119
950,187.2070480425068,276.62933180500477,39.10600456513052
