Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-649.3908934105953,-453.0697218850495,-814.286463934592
50,-889.6883640563499,-332.99235051812695,-2334.740731579375
100,-147.85020739473129,-35.35748009239051,-188.54838157493802
150,-79.8908966059264,-34.248058205684636,-109.50218544322964
200,-70.11018237574896,-17.493307704043104,-129.86497805485013
250,-75.71305216967741,197.52444573991892,-275.6362867508558
300,184.29037049772688,287.35830130379725,12.784878853034508
350,188.99587259499955,262.5728786583287,-45.8768737256165
400,160.3389486551105,240.2340772677342,-41.884878507355644
450,212.83285419919267,270.22199898345264,112.52158069093397
500,172.91201872276685,233.09268138617514,-46.85035409164623
550,186.5074641320245,280.072060803571,42.67656857739395
600,228.79697799351715,287.3359526145336,76.04181291683201
650,225.14609424984565,274.19637180399974,116.64014002928641
700,181.2287767046452,254.52623742495587,115.95910821852362
750,199.60232750550716,283.6855242847124,89.66236828080363
800,221.513485388157,293.641624618777,105.22594442484936
850,227.832426156179,265.97435938246815,182.28097672812174
900,193.77221809881033,278.3415886464796,-8.747321501175065
950,173.89485025298615,248.0318942138931,26.638691802487756
