Episode,Average_Reward,Maximum_Reward,Minimum_Reward
0,-302.10391949375145,-246.04377156352353,-372.52955481906287
50,-289.9884160916593,-203.33160336610834,-398.48872227155044
100,-117.67830738869338,-77.23543370592219,-166.2767701600653
150,-109.30938184705428,271.1848663152522,-257.0970477821454
200,-124.08220042774576,6.1799381087859135,-318.4213606070375
250,-23.749919125416834,158.84955442661658,-201.27142383322013
300,181.02590974949376,289.1388967762514,-51.14547580134299
350,177.34993816288107,265.03923871880943,80.8647475712157
400,225.8664918709563,281.708347574885,125.17883550414015
450,240.74520307128495,271.93435729316036,93.1651186484314
500,202.24958352204357,280.97105896589306,120.12469351468151
550,198.39868552063086,258.47080853947944,6.115735257960466
600,212.62535222683763,277.80884166820516,23.506136916276887
650,158.08839216380534,296.2310414963125,-54.371831201783245
700,187.76610946479542,258.1639295180736,-36.58990467683195
750,187.27265308201342,275.8710691072025,-36.59439745529309
800,231.40185221182742,295.74786602611755,143.68973613653608
850,217.4627344076701,294.65917201486064,114.52446481027263
900,243.38287236613647,286.014632589404,123.18801318781766
950,234.82488589996302,278.0418880219795,111.94711356750544
